County name,Square miles,Median age,Average family size,Population per square mile,Total population,Crop acreage,Percent white,Percent black,Percent Hispanic,Percent Asian,Percent other or multiple race/ethnicity,Percent renter occupied units,Percent owner occupied units,Percent vacant units
Adams,585.8,36.3,3.03,46.9,27501,110346,0.9777167947,0.0017563117,0.0064032199,0.0012440542,0.0189535309,0.2322788022,0.6559803756,0.1117408222
Allen,406.9,36.3,3.05,262.2,106703,172737,0.8494925004,0.1219197404,0.0142431757,0.0055405493,0.0229273644,0.2567069725,0.6619505029,0.0813425246
Ashland,426.8,36.3,3.06,125.5,53553,128036,0.9754012528,0.0080726539,0.0064543153,0.0054642728,0.0107762314,0.2283986175,0.7088133641,0.0627880184
Ashtabula,709.5,37.6,3.05,145.3,103066,102903,0.9406880305,0.0316077408,0.0223113465,0.0033681177,0.0240927498,0.2331247716,0.6665144319,0.1003607965
Athens,508.5,25.7,2.92,123.3,62689,39369,0.9347990293,0.0238657731,0.0102695145,0.0190283336,0.0220818668,0.3572547287,0.5463635999,0.0963816714
Auglaize,401.7,36.5,3.11,116.2,46686,195112,0.9812061531,0.0023599579,0.0066507906,0.0040548368,0.012100148,0.2079047103,0.732864104,0.0592311857
Belmont,541.4,40.9,2.9,126.2,68339,65322,0.9497621963,0.0363540569,0.0039016888,0.0030330647,0.0106655655,0.2266615444,0.6796324753,0.0937059803
Brown,494.2,35.4,3.09,88.6,43778,144283,0.980820622,0.0091994797,0.0043750739,0.0012770486,0.0086555516,0.1846100157,0.7201186529,0.0952713314
Butler,470.1,34.2,3.07,742.7,349147,107613,0.9119700006,0.0526761757,0.014335636,0.0154654199,0.0195428582,0.2696524466,0.6786421456,0.0517054078
Carroll,399,38.8,3,71.5,28527,67988,0.9819669857,0.0053752254,0.005479262,0.0011444028,0.0112706339,0.1709434542,0.6838506454,0.1452059004
Champaign,429.6,37,3.01,92.2,39592,196118,0.9573155053,0.0229879146,0.0069169452,0.0025456416,0.0169452301,0.2264946507,0.7144745123,0.059030837
Clark,402.9,37.6,2.97,352.6,142068,153899,0.8811609623,0.0894971743,0.0117381272,0.0052576308,0.0238700584,0.2644621331,0.6633418501,0.0721960168
Clermont,458.8,34.8,3.11,415.6,190679,65699,0.9712828062,0.0091079184,0.0086921344,0.0063435163,0.0130803418,0.2408632595,0.7127235432,0.0464131974
Clinton,412.1,35.3,3.03,100.8,41528,201176,0.9598944331,0.0218533409,0.0065609353,0.0037984362,0.0144291246,0.2896181456,0.6403450564,0.070036798
Columbiana,535.2,38.5,3,206.8,110688,98720,0.9642739237,0.0220209681,0.0116796788,0.0023377203,0.0111978586,0.2240522535,0.7084608207,0.0674869258
Coshocton,567.6,37.8,3.01,64.7,36711,104165,0.9735370345,0.0108852817,0.0058927841,0.0032192061,0.0120856636,0.2141305023,0.6771589992,0.1087104985
Crawford,402.8,38.2,2.94,115.1,46379,206957,0.9799003534,0.0059404676,0.0076864114,0.0030873398,0.0108802112,0.2575577361,0.6819308157,0.0605114481
Cuyahoga,459.3,37.3,3.06,2948.3,1354168,2707,0.6735134988,0.2744907021,0.0337724125,0.0181100419,0.0336432856,0.3411832979,0.5851487187,0.0736679835
Darke,600.3,37.4,3.03,88.3,53013,302082,0.9808850288,0.0039017802,0.0085726613,0.0024761297,0.0125119586,0.2217022657,0.7243663995,0.0539313348
Defiance,414.2,36.5,3.02,94.3,39047,165673,0.9259493671,0.0175189873,0.0723291139,0.0035949367,0.0527088608,0.1926433915,0.7511221945,0.056234414
Delaware,456.4,35.3,3.09,305.4,139389,144511,0.9424851576,0.0252207039,0.0100828265,0.0153651729,0.0165834765,0.183107566,0.7531741162,0.0637183178
